"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C11,C4,C1,C8,C10,C3,C2,C6,C5";"C_0402_1005Metric";9;"100n";;;
2;"R7,R6,R4,R10,R1,R18,R17";"R_0402_1005Metric";7;"1k";;;
3;"C13,C16,C12,C17";"C_0402_1005Metric";4;"2.2u";;;
4;"C14,C9,C27,C26";"C_0402_1005Metric";4;"1u";;;
5;"U10,U14,U12,U6";"SW-SMD_4P-L3.4-W3.4-P2.00-LS4.0_TS3315A160GF";4;"TS3315A";;;
6;"C7";"C_0402_1005Metric";1;"4.7u";;;
7;"R3,R2";"R_0402_1005Metric";2;"2k2";;;
8;"U1";"LQFP-100_14x14mm_P0.5mm";1;"STM32H723VET6";;;
9;"LED1";"LED-SMD_4P-L3.0-W1.5-TL-FD";1;"E6C1206RGBC3UDA";;;
10;"R8";"R_0402_1005Metric";1;"1k2";;;
11;"C30,C20,C18,C25,C28,C29";"C_0402_1005Metric";6;"0.1u";;;
12;"R11,R12,R13,R15,R14";"R_0402_1005Metric";5;"220";;;
13;"R9";"R_0402_1005Metric";1;"100";;;
14;"U5";"TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL-2";1;"FS8205A";;;
15;"H3,H4,H2,H1";"MountingHole_2.2mm_M2";4;"MountingHole";;;
16;"U8";"SW-SMD_SMK_JPM1040-XXXXFC";1;"JPM1040-3913FC";;;
17;"X1";"OSC-SMD_4P-L5.0-W3.2-BL_SG5032";1;"OVETGLJTNF-50MHZ";;;
18;"U4";"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL";1;"DW01A_C436931";;;
19;"J2";"SolderWire-0.25sqmm_1x04_P4.2mm_D0.65mm_OD1.7mm";1;"Conn_01x04";;;
20;"U2";"TSOT-23-5";1;"ADP7142AUJZ-3.3";;;
21;"C19";"C_0402_1005Metric";1;"10u";;;
22;"U3";"ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP";1;"TP4056_C382139";;;
23;"J1";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
24;"U7";"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR";1;"ME6211C28M5G";;;
25;"D2,D3";"LED_0805_2012Metric";2;"LED";;;
26;"U9";"AUDIO-SMD_HOOYA_PJ-31060";1;"PJ-31060";;;
27;"J4";"SolderWire-0.25sqmm_1x02_P4.2mm_D0.65mm_OD1.7mm";1;"Conn_01x02_Pin";;;
28;"P1";"FPC-SMD_FH26W-33S-0.3SHW-60";1;"FH26W-33S-0_3SHW(60)";;;
