Ref,Val,Package,PosX,PosY,Rot,Side
"C25","0.1u","C_0402_1005Metric",67.722000,-99.314000,90.000000,bottom
"C26","1u","C_0402_1005Metric",73.850206,-100.396000,-90.000000,bottom
"C27","1u","C_0402_1005Metric",65.182000,-99.314000,-90.000000,bottom
"C28","0.1u","C_0402_1005Metric",66.452000,-99.314000,-90.000000,bottom
"C29","0.1u","C_0402_1005Metric",63.912000,-99.286000,90.000000,bottom
"D2","LED","LED_0805_2012Metric",50.600000,-104.600000,180.000000,bottom
"D3","LED","LED_0805_2012Metric",50.662498,-109.600000,180.000000,bottom
"J1","USB_B_Micro","USB_Micro-B_Molex_47346-0001",172.536000,-102.195000,-90.000000,bottom
"P1","FH26W-33S-0_3SHW(60)","FPC-SMD_FH26W-33S-0.3SHW-60",64.855113,-107.000000,90.000000,bottom
"R14","220","R_0402_1005Metric",51.816000,-102.870000,0.000000,bottom
"R15","220","R_0402_1005Metric",51.816000,-111.252000,0.000000,bottom
"U7","ME6211C28M5G","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR",71.150102,-101.025962,0.000000,bottom
"U9","PJ-31060","AUDIO-SMD_HOOYA_PJ-31060",167.483797,-111.146089,90.000000,bottom
"C1","100n","C_0402_1005Metric",87.884000,-102.588000,90.000000,top
"C2","100n","C_0402_1005Metric",87.884000,-105.382000,90.000000,top
"C3","100n","C_0402_1005Metric",90.170000,-115.034000,90.000000,top
"C4","100n","C_0402_1005Metric",105.410000,-114.780000,-90.000000,top
"C5","100n","C_0402_1005Metric",106.680000,-100.810000,-90.000000,top
"C6","100n","C_0402_1005Metric",90.170000,-98.326000,-90.000000,top
"C7","4.7u","C_0402_1005Metric",107.696000,-100.810000,-90.000000,top
"C8","100n","C_0402_1005Metric",86.614000,-111.478000,-90.000000,top
"C9","1u","C_0402_1005Metric",87.884000,-111.478000,-90.000000,top
"C10","100n","C_0402_1005Metric",86.614000,-109.192000,90.000000,top
"C11","100n","C_0402_1005Metric",87.884000,-107.922000,-90.000000,top
"C12","2.2u","C_0402_1005Metric",106.680000,-114.780000,90.000000,top
"C13","2.2u","C_0402_1005Metric",107.160000,-102.362000,180.000000,top
"C14","1u","C_0402_1005Metric",85.344000,-109.192000,90.000000,top
"C16","2.2u","C_0402_1005Metric",152.886002,-99.520000,-90.000000,top
"C17","2.2u","C_0402_1005Metric",158.750000,-100.584000,90.000000,top
"C18","0.1u","C_0402_1005Metric",172.438000,-113.284000,180.000000,top
"C19","10u","C_0402_1005Metric",159.320000,-106.400000,90.000000,top
"C20","0.1u","C_0402_1005Metric",162.080000,-100.076000,180.000000,top
"C30","0.1u","C_0402_1005Metric",77.724000,-106.144000,-90.000000,top
"LED1","E6C1206RGBC3UDA","LED-SMD_4P-L3.0-W1.5-TL-FD",151.149911,-106.699975,-90.000000,top
"R1","1k","R_0402_1005Metric",109.220000,-106.174000,90.000000,top
"R2","2k2","R_0402_1005Metric",107.190000,-105.664000,180.000000,top
"R3","2k2","R_0402_1005Metric",107.188000,-104.394000,180.000000,top
"R4","1k","R_0402_1005Metric",84.582000,-100.584000,90.000000,top
"R6","1k","R_0402_1005Metric",170.944000,-104.140000,-90.000000,top
"R7","1k","R_0402_1005Metric",173.736000,-104.140000,-90.000000,top
"R8","1k2","R_0402_1005Metric",169.924000,-113.284000,180.000000,top
"R9","100","R_0402_1005Metric",164.340000,-100.076000,0.000000,top
"R10","1k","R_0402_1005Metric",162.560000,-105.412000,-90.000000,top
"R11","220","R_0402_1005Metric",150.116000,-109.474000,0.000000,top
"R12","220","R_0402_1005Metric",149.352000,-105.156000,-90.000000,top
"R13","220","R_0402_1005Metric",151.132000,-103.886000,180.000000,top
"R17","1k","R_0402_1005Metric",82.296000,-115.062000,180.000000,top
"R18","1k","R_0402_1005Metric",123.950000,-105.918000,0.000000,top
"U1","STM32H723VET6","LQFP-100_14x14mm_P0.5mm",97.324998,-106.800000,0.000000,top
"U2","ADP7142AUJZ-3.3","TSOT-23-5",155.823500,-100.076000,0.000000,top
"U3","TP4056_C382139","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP",171.196000,-108.966000,0.000000,top
"U4","DW01A_C436931","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",162.450038,-102.549098,0.000000,top
"U5","FS8205A","TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL-2",162.200000,-110.600000,0.000000,top
"U6","TS3315A","SW-SMD_4P-L3.4-W3.4-P2.00-LS4.0_TS3315A160GF",78.232000,-113.792000,180.000000,top
"U8","JPM1040-3913FC","SW-SMD_SMK_JPM1040-XXXXFC",143.133057,-106.934000,0.000000,top
"U10","TS3315A","SW-SMD_4P-L3.4-W3.4-P2.00-LS4.0_TS3315A160GF",81.108038,-100.346051,180.000000,top
"U12","TS3315A","SW-SMD_4P-L3.4-W3.4-P2.00-LS4.0_TS3315A160GF",112.776000,-106.702958,0.000000,top
"U14","TS3315A","SW-SMD_4P-L3.4-W3.4-P2.00-LS4.0_TS3315A160GF",128.016000,-106.934000,0.000000,top
"X1","OVETGLJTNF-50MHZ","OSC-SMD_4P-L5.0-W3.2-BL_SG5032",80.929997,-105.899924,0.000000,top
